[23:48:18.727] ADC:3636 voltage:2.93 V | magnetic field   detected
[23:48:19.231] ADC:3688 voltage:2.97 V | magnetic field   detected
[23:48:19.736] ADC:3693 voltage:2.98 V | magnetic field   detected
[23:48:20.242] ADC:3692 voltage:2.98 V | magnetic field   detected
[23:48:20.747] ADC:3734 voltage:3.01 V | magnetic field not detected
[23:48:21.252] ADC:3780 voltage:3.05 V | magnetic field not detected
[23:48:21.757] ADC:3781 voltage:3.05 V | magnetic field not detected
[23:48:22.261] ADC:3614 voltage:2.91 V | magnetic field   detected
[23:48:22.768] ADC:3633 voltage:2.93 V | magnetic field   detected
[23:48:23.271] ADC:3625 voltage:2.92 V | magnetic field   detected
[23:48:23.776] ADC:3786 voltage:3.05 V | magnetic field not detected
[23:48:24.281] ADC:3830 voltage:3.09 V | magnetic field not detected
[23:48:24.788] ADC:3747 voltage:3.02 V | magnetic field not detected
[23:48:25.291] ADC:3794 voltage:3.06 V | magnetic field not detected
[23:48:25.796] ADC:3756 voltage:3.03 V | magnetic field not detected
[23:48:26.301] ADC:3778 voltage:3.04 V | magnetic field not detected
[23:48:26.806] ADC:3736 voltage:3.01 V | magnetic field not detected
[23:48:27.311] ADC:3733 voltage:3.01 V | magnetic field not detected
[23:48:27.816] ADC:3657 voltage:2.95 V | magnetic field   detected
[23:48:28.320] ADC:3708 voltage:2.99 V | magnetic field   detected
[23:48:28.825] ADC:3711 voltage:2.99 V | magnetic field   detected
[23:48:29.331] ADC:3717 voltage:3.00 V | magnetic field   detected
[23:48:29.835] ADC:3721 voltage:3.00 V | magnetic field   detected
[23:48:30.341] ADC:3736 voltage:3.01 V | magnetic field not detected
[23:48:30.846] ADC:3727 voltage:3.00 V | magnetic field not detected
[23:48:31.350] ADC:3692 voltage:2.98 V | magnetic field   detected
[23:48:31.855] ADC:3697 voltage:2.98 V | magnetic field   detected
[23:48:32.361] ADC:3750 voltage:3.02 V | magnetic field not detected
[23:48:32.865] ADC:3709 voltage:2.99 V | magnetic field   detected
[23:48:33.370] ADC:3795 voltage:3.06 V | magnetic field not detected
[23:48:33.876] ADC:3801 voltage:3.06 V | magnetic field not detected
[23:48:34.381] ADC:3804 voltage:3.07 V | magnetic field not detected
[23:48:34.885] ADC:3744 voltage:3.02 V | magnetic field not detected
[23:48:35.390] ADC:3767 voltage:3.04 V | magnetic field not detected
[23:48:35.895] ADC:3774 voltage:3.04 V | magnetic field not detected
[23:48:36.400] ADC:3785 voltage:3.05 V | magnetic field not detected
[23:48:36.906] ADC:3778 voltage:3.04 V | magnetic field not detected
[23:48:37.409] ADC:3762 voltage:3.03 V | magnetic field not detected
[23:48:37.917] ADC:3764 voltage:3.03 V | magnetic field not detected
[23:48:38.420] ADC:3758 voltage:3.03 V | magnetic field not detected
[23:48:38.925] ADC:3745 voltage:3.02 V | magnetic field not detected
[23:48:39.430] ADC:3729 voltage:3.01 V | magnetic field not detected
[23:48:39.934] ADC:3746 voltage:3.02 V | magnetic field not detected
[23:48:40.439] ADC:3753 voltage:3.02 V | magnetic field not detected
[23:48:40.944] ADC:3766 voltage:3.03 V | magnetic field not detected
[23:48:41.450] ADC:3806 voltage:3.07 V | magnetic field not detected
[23:48:41.955] ADC:3772 voltage:3.04 V | magnetic field not detected
[23:48:42.459] ADC:3810 voltage:3.07 V | magnetic field not detected
[23:48:42.964] ADC:3827 voltage:3.08 V | magnetic field not detected
[23:48:43.470] ADC:3840 voltage:3.09 V | magnetic field not detected
[23:48:43.974] ADC:3840 voltage:3.09 V | magnetic field not detected
[23:48:44.479] ADC:3817 voltage:3.08 V | magnetic field not detected
[23:48:44.984] ADC:3829 voltage:3.09 V | magnetic field not detected
[23:48:45.489] ADC:3833 voltage:3.09 V | magnetic field not detected
[23:48:45.994] ADC:3831 voltage:3.09 V | magnetic field not detected
[23:48:46.532] ADC:3823 voltage:3.08 V | magnetic field not detected
[23:48:47.004] ADC:3818 voltage:3.08 V | magnetic field not detected
[23:48:47.532] ADC:3813 voltage:3.07 V | magnetic field not detected
[23:48:48.014] ADC:3816 voltage:3.08 V | magnetic field not detected
[23:48:48.534] ADC:3826 voltage:3.08 V | magnetic field not detected
[23:48:49.025] ADC:3831 voltage:3.09 V | magnetic field not detected
[23:48:49.543] ADC:3830 voltage:3.09 V | magnetic field not detected
[23:48:50.034] ADC:3833 voltage:3.09 V | magnetic field not detected
[23:48:50.639] ADC:3840 voltage:3.09 V | magnetic field not detected
[23:48:51.044] ADC:3833 voltage:3.09 V | magnetic field not detected
[23:48:51.549] ADC:3837 voltage:3.09 V | magnetic field not detected
[23:48:52.054] ADC:3838 voltage:3.09 V | magnetic field not detected
[23:48:52.746] ADC:3846 voltage:3.10 V | magnetic field not detected
[23:48:53.068] ADC:3840 voltage:3.09 V | magnetic field not detected
[23:48:53.577] ADC:3837 voltage:3.09 V | magnetic field not detected
[23:48:54.073] ADC:3842 voltage:3.10 V | magnetic field not detected
[23:48:54.600] ADC:3817 voltage:3.08 V | magnetic field not detected
[23:48:55.084] ADC:3782 voltage:3.05 V | magnetic field not detected
[23:48:55.609] ADC:3841 voltage:3.10 V | magnetic field not detected
[23:48:57.435] ADC:3944 voltage:3.18 V | magnetic field not detected
[23:48:57.941] ADC:3815 voltage:3.07 V | magnetic field not detected
[23:48:58.447] ADC:3783 voltage:3.05 V | magnetic field not detected
[23:48:58.952] ADC:3807 voltage:3.07 V | magnetic field not detected
[23:48:59.455] ADC:3806 voltage:3.07 V | magnetic field not detected
[23:48:59.962] ADC:3754 voltage:3.03 V | magnetic field not detected
[23:49:18.189] ADC:3962 voltage:3.19 V magnetic field not detected
[23:49:18.695] ADC:3844 voltage:3.10 V magnetic field not detected
[23:49:19.199] ADC:3834 voltage:3.09 V magnetic field not detected
[23:49:19.708] ADC:3831 voltage:3.09 V magnetic field not detected
[23:49:20.210] ADC:3838 voltage:3.09 V magnetic field not detected
[23:49:20.715] ADC:3843 voltage:3.10 V magnetic field not detected
[23:49:21.227] ADC:3840 voltage:3.09 V magnetic field not detected
[23:49:21.728] ADC:3842 voltage:3.10 V magnetic field not detected
[23:49:22.230] ADC:3848 voltage:3.10 V magnetic field not detected
[23:49:22.734] ADC:3840 voltage:3.09 V magnetic field not detected
[23:49:23.240] ADC:3844 voltage:3.10 V magnetic field not detected
[23:49:23.745] ADC:3849 voltage:3.10 V magnetic field not detected
[23:49:24.249] ADC:3834 voltage:3.09 V magnetic field not detected
[23:49:24.754] ADC:3841 voltage:3.10 V magnetic field not detected
[23:49:25.260] ADC:3844 voltage:3.10 V magnetic field not detected
[23:49:25.764] ADC:3850 voltage:3.10 V magnetic field not detected
[23:49:26.269] ADC:3837 voltage:3.09 V magnetic field not detected
[23:49:26.774] ADC:3845 voltage:3.10 V magnetic field not detected
[23:49:27.279] ADC:3857 voltage:3.11 V magnetic field not detected
[23:49:27.784] ADC:3867 voltage:3.12 V magnetic field not detected
[23:49:28.292] ADC:3859 voltage:3.11 V magnetic field not detected
[23:49:28.794] ADC:3862 voltage:3.11 V magnetic field not detected
[23:49:29.105] ADC:3992 voltage:3.22 V magnetic field not detected
[23:49:29.611] ADC:3866 voltage:3.12 V magnetic field not detected
[23:49:30.115] ADC:3856 voltage:3.11 V magnetic field not detected
[23:49:30.620] ADC:3867 voltage:3.12 V magnetic field not detected
[23:49:36.445] aetcspbt}bxADC:3851 voltage:3.10 V magnetic field not detected
[23:49:36.949] ADC:3837 voltage:3.09 V magnetic field not detected
[23:49:37.455] ADC:3830 voltage:3.09 V magnetic field not detected
[23:49:37.959] ADC:3839 voltage:3.09 V magnetic field not detected
[23:49:38.465] ADC:3865 voltage:3.11 V magnetic field not detected
[23:49:38.969] ADC:3871 voltage:3.12 V magnetic field not detected
[23:49:39.474] ADC:3725 voltage:3.00 V magnetic field not detected
[23:49:39.979] ADC:3840 voltage:3.09 V magnetic field not detected
[23:49:40.484] ADC:3798 voltage:3.06 V magnetic field not detected
[23:49:40.988] ADC:3816 voltage:3.08 V magnetic field not detected
[23:49:41.494] ADC:3799 voltage:3.06 V magnetic field not detected
[23:49:41.999] ADC:3810 voltage:3.07 V magnetic field not detected
[23:49:42.504] ADC:3845 voltage:3.10 V magnetic field not detected
[23:49:43.008] ADC:3847 voltage:3.10 V magnetic field not detected
[23:49:43.514] ADC:3792 voltage:3.06 V magnetic field not detected
